TransactionAmount,AverageTransactionAmount,CustomerLocation,RecipientLocation,TransactionType,CurrencyType,RiskLabel
5.50,289.00,Rio de Janeiro,Dublin,Credit,SGD,False
268.67,192.00,Helsinki,Cape Town,Refund,CHF,False
1163.27,209.00,Mexico City,Toronto,Debit,NZD,True
691.19,940.00,Mumbai,Helsinki,Donation,ZAR,False
387.18,472.00,Sydney,Berlin,Transfer,GBP,False
1057.89,821.00,Athens,Rome,Refund,INR,True
899.18,682.00,Stockholm,Cape Town,Payment,EUR,False
401.64,507.00,New York,Amsterdam,Refund,USD,False
618.71,685.00,Athens,Dublin,Withdrawal,SEK,False
278.58,263.00,Seoul,Helsinki,Transfer,USD,False
1268.06,921.00,Paris,Athens,Reimbursement,NZD,False
74.72,308.00,Mexico City,Mumbai,Transfer,SEK,False
1547.74,210.00,Mexico City,Cape Town,Fee,MXN,False
667.36,961.00,Paris,Cape Town,Subscription,NZD,False
702.60,716.00,Moscow,Amsterdam,Loan,NZD,False
3903.86,661.00,Stockholm,London,Transfer,SEK,True
86.70,752.00,Helsinki,Dublin,Transfer,NOK,False
80.52,892.00,Dublin,New York,Credit,NZD,False
4314.77,858.00,Moscow,Tokyo,Debit,SGD,True
64.03,185.00,Dubai,Rome,Reimbursement,USD,False
744.03,611.00,Rio de Janeiro,New York,Donation,ZAR,False
429.36,590.00,Rome,London,Loan,GBP,False
425.50,879.00,Berlin,Dubai,Credit,AUD,False
251.22,472.00,Tokyo,Rome,Credit,KRW,False
820.09,849.00,Rio de Janeiro,Dubai,Loan,CAD,False
666.49,544.00,Mexico City,Toronto,Fee,NZD,False
601.75,829.00,Tokyo,New York,Invoice,SGD,False
620.73,457.00,London,Berlin,Donation,GBP,False
1269.89,886.00,Moscow,Stockholm,Donation,GBP,False
20.27,127.00,Amsterdam,Berlin,Donation,ZAR,False
463.16,313.00,Tokyo,Dublin,Payment,CHF,False
469.68,567.00,Dublin,Paris,Subscription,RUB,False
123.61,283.00,Tokyo,London,Donation,NZD,False
428.36,810.00,Stockholm,Stockholm,Withdrawal,AUD,False
5.40,256.00,Mumbai,Dubai,Reimbursement,USD,False
212.73,671.00,Rio de Janeiro,London,Purchase,ZAR,True
577.64,642.00,Dubai,Mumbai,Transfer,CNY,True
175.48,702.00,Cape Town,Berlin,Credit,GBP,False
277.48,972.00,Athens,Paris,Loan,MXN,False
3994.82,922.00,Cape Town,Paris,Refund,EUR,True
1020.14,850.00,Mexico City,Helsinki,Subscription,AUD,False
508.43,368.00,Helsinki,Toronto,Deposit,ZAR,False
937.40,193.00,Stockholm,Paris,Invoice,AUD,True
183.83,375.00,Stockholm,Rio de Janeiro,Withdrawal,ZAR,False
714.45,515.00,Stockholm,Dublin,Deposit,CAD,False
1335.24,945.00,Amsterdam,Toronto,Donation,NOK,False
340.47,201.00,Toronto,Berlin,Refund,CHF,False
932.71,694.00,Amsterdam,Dublin,Payment,CHF,False
10.14,144.00,Sydney,Dublin,Reimbursement,USD,False
160.68,249.00,London,Dublin,Exchange,CHF,False
434.84,451.00,Rio de Janeiro,Helsinki,Deposit,EUR,False
277.08,751.00,Mexico City,Rome,Payment,USD,False
160.91,205.00,Toronto,Cape Town,Donation,GBP,False
598.18,664.00,New York,Tokyo,Purchase,CHF,False
73.87,121.00,Dublin,Athens,Refund,NOK,False
394.66,286.00,Toronto,Toronto,Purchase,EUR,False
550.33,423.00,New York,Dublin,Debit,CHF,False
146.52,794.00,Tokyo,Cape Town,Exchange,HKD,False
156.50,125.00,Cape Town,Paris,Fee,EUR,False
101.73,184.00,Moscow,Toronto,Loan,ZAR,True
111.91,115.00,Rio de Janeiro,Paris,Invoice,CHF,False
2.33,424.00,New York,Cape Town,Credit,SGD,False
236.59,543.00,Dublin,Paris,Loan,TRY,False
766.62,564.00,Rome,Mexico City,Reimbursement,MXN,False
8.31,307.00,Toronto,Rio de Janeiro,Payment,SGD,False
440.90,383.00,London,Mumbai,Withdrawal,CHF,False
231.35,308.00,Tokyo,Dublin,Subscription,AUD,False
674.59,744.00,Toronto,Seoul,Fee,CHF,False
59.80,197.00,Rio de Janeiro,Mumbai,Exchange,CHF,True
403.16,359.00,Seoul,Mexico City,Credit,CAD,False
390.59,274.00,Toronto,Amsterdam,Refund,AUD,False
1060.91,723.00,Berlin,Rome,Exchange,CNY,False
785.77,279.00,Paris,Sydney,Credit,MXN,False
18.85,211.00,Sydney,Helsinki,Reimbursement,USD,False
179.65,214.00,Moscow,Tokyo,Refund,TRY,True
541.06,798.00,Seoul,New York,Debit,CAD,False
12.80,599.00,Rio de Janeiro,Helsinki,Exchange,SEK,False
256.10,237.00,Berlin,Helsinki,Fee,NZD,False
156.51,218.00,Dubai,Helsinki,Invoice,JPY,False
978.73,755.00,Helsinki,Amsterdam,Debit,NZD,False
99.50,714.00,Rome,Rio de Janeiro,Donation,BRL,False
344.87,392.00,Helsinki,Cape Town,Deposit,SGD,False
700.75,984.00,Dubai,Seoul,Invoice,RUB,False
75.08,851.00,Seoul,Rome,Invoice,CAD,False
25.95,351.00,Tokyo,Sydney,Purchase,CAD,False
490.97,647.00,Cape Town,Berlin,Fee,AUD,False
432.51,759.00,Amsterdam,Seoul,Purchase,GBP,True
308.92,774.00,Athens,Toronto,Donation,JPY,False
257.60,184.00,Rome,Toronto,Exchange,NOK,False
686.69,804.00,Stockholm,Helsinki,Invoice,EUR,False
193.83,646.00,Rio de Janeiro,Sydney,Credit,GBP,False
442.93,591.00,Stockholm,Toronto,Purchase,TRY,False
1070.12,773.00,Berlin,Amsterdam,Invoice,TRY,False
285.24,653.00,Sydney,Cape Town,Purchase,HKD,True
1263.22,942.00,Mexico City,Helsinki,Transfer,JPY,False
414.37,975.00,Helsinki,Seoul,Transfer,HKD,False
531.39,382.00,Dubai,Dubai,Refund,SEK,False
392.96,408.00,Rio de Janeiro,Athens,Purchase,NOK,False
856.94,960.00,Mumbai,Amsterdam,Purchase,RUB,True
14.94,735.00,Helsinki,Paris,Refund,ZAR,False
43.54,631.00,Athens,Amsterdam,Exchange,NZD,False
344.59,694.00,Rome,Helsinki,Debit,INR,False
848.52,686.00,Helsinki,Rome,Loan,RUB,False
39.53,559.00,Berlin,Paris,Loan,CAD,True
260.73,189.00,Toronto,London,Loan,CHF,False
86.98,709.00,Rome,Stockholm,Reimbursement,AUD,False
2252.12,596.00,Mexico City,Seoul,Debit,AUD,True
183.76,251.00,Mexico City,Helsinki,Debit,SEK,False
1125.39,956.00,Tokyo,Seoul,Withdrawal,AUD,False
1258.78,965.00,Berlin,Athens,Debit,NZD,False
0.13,115.00,Stockholm,London,Exchange,INR,False
103.85,315.00,Sydney,Rio de Janeiro,Credit,HKD,False
192.80,458.00,Paris,Athens,Subscription,INR,False
273.05,572.00,Athens,Amsterdam,Withdrawal,MXN,False
999.48,847.00,Cape Town,Amsterdam,Fee,INR,False
412.98,554.00,New York,Dublin,Fee,CHF,False
446.07,460.00,Amsterdam,Toronto,Debit,HKD,False
2725.16,774.00,Sydney,New York,Exchange,CAD,True
697.52,565.00,Berlin,Stockholm,Payment,RUB,False
16.09,104.00,Helsinki,Mexico City,Payment,JPY,False
316.85,214.00,New York,Rome,Debit,NZD,False
647.48,603.00,Amsterdam,Berlin,Subscription,SEK,False
562.93,999.00,Helsinki,Rio de Janeiro,Subscription,TRY,False
858.76,997.00,Rome,Amsterdam,Fee,NZD,False
317.01,870.00,Helsinki,Dubai,Subscription,ZAR,False
756.93,807.00,Mexico City,Stockholm,Loan,KRW,False
130.61,329.00,Seoul,Moscow,Purchase,KRW,True
76.27,233.00,Amsterdam,Paris,Purchase,INR,False
1990.36,351.00,Stockholm,Toronto,Donation,AUD,True
249.57,447.00,Helsinki,Cape Town,Loan,HKD,False
631.38,712.00,Toronto,Berlin,Donation,USD,False
244.92,466.00,Mumbai,Moscow,Credit,CHF,False
707.38,684.00,London,Toronto,Transfer,HKD,False
67.12,298.00,Mexico City,Dublin,Deposit,CAD,False
276.82,399.00,Rome,Amsterdam,Reimbursement,NOK,False
124.93,284.00,Rome,Berlin,Credit,CHF,False
778.46,590.00,Mexico City,Helsinki,Invoice,USD,False
306.58,969.00,Cape Town,Toronto,Deposit,ZAR,False
1858.65,454.00,New York,Dubai,Donation,MXN,True
589.64,599.00,Mexico City,Stockholm,Purchase,BRL,True
515.16,857.00,Stockholm,Mumbai,Subscription,CHF,False
1399.10,938.00,Toronto,Tokyo,Subscription,NZD,True
343.50,367.00,Athens,New York,Payment,NZD,False
112.33,432.00,London,Toronto,Payment,CHF,False
815.43,884.00,Dubai,Stockholm,Withdrawal,GBP,False
867.64,849.00,Seoul,Rome,Transfer,CNY,False
401.01,666.00,Dubai,New York,Transfer,USD,False
211.38,466.00,New York,New York,Deposit,NOK,False
934.25,750.00,Athens,Tokyo,Loan,BRL,True
908.72,642.00,Seoul,Dubai,Reimbursement,ZAR,False
204.89,533.00,Stockholm,Helsinki,Withdrawal,CNY,False
812.40,910.00,Mexico City,New York,Donation,BRL,False
338.97,641.00,Toronto,Rio de Janeiro,Donation,JPY,False
28.37,424.00,New York,Moscow,Debit,RUB,False
1.73,407.00,Berlin,Toronto,Exchange,TRY,False
98.51,670.00,Tokyo,Seoul,Subscription,CAD,True
141.24,169.00,Dubai,Sydney,Deposit,RUB,False
654.01,129.00,Stockholm,Amsterdam,Deposit,NOK,True
87.51,979.00,Helsinki,Paris,Deposit,CAD,False
96.74,102.00,Stockholm,Athens,Withdrawal,ZAR,False
276.93,615.00,Moscow,Rome,Withdrawal,SEK,False
302.76,209.00,Paris,Moscow,Invoice,CAD,False
16.56,141.00,Amsterdam,Berlin,Purchase,SGD,False
416.49,720.00,Dubai,Mexico City,Subscription,HKD,False
82.36,557.00,Amsterdam,Moscow,Fee,NZD,False
302.04,110.00,Sydney,New York,Loan,BRL,False
601.00,986.00,New York,Helsinki,Payment,KRW,False
68.38,730.00,New York,London,Reimbursement,HKD,False
996.81,133.00,Dublin,Rome,Subscription,INR,True
332.51,560.00,Athens,Stockholm,Invoice,ZAR,False
590.06,411.00,Mexico City,Berlin,Reimbursement,CNY,False
418.65,367.00,Amsterdam,Sydney,Fee,USD,False
218.93,169.00,Berlin,Mumbai,Loan,KRW,True
553.07,400.00,Athens,Rome,Donation,TRY,False
2524.59,769.00,Mumbai,Paris,Reimbursement,AUD,True
618.16,660.00,Dublin,Seoul,Debit,GBP,False
925.77,906.00,Rome,Cape Town,Invoice,HKD,False
224.38,277.00,Athens,London,Transfer,MXN,False
100.11,959.00,Cape Town,Sydney,Subscription,JPY,False
203.08,552.00,London,New York,Fee,HKD,False
193.32,262.00,Paris,Mexico City,Reimbursement,CNY,False
14.80,179.00,Berlin,Mexico City,Deposit,CNY,False
272.78,324.00,Stockholm,Amsterdam,Donation,CHF,False
706.80,951.00,Amsterdam,Toronto,Invoice,TRY,False
1052.35,995.00,Dubai,Stockholm,Deposit,SGD,False
650.56,989.00,Paris,Tokyo,Transfer,CNY,True
708.49,763.00,Tokyo,Rio de Janeiro,Deposit,CNY,False
4345.37,978.00,Mumbai,Berlin,Credit,INR,True
351.87,431.00,New York,Paris,Loan,CAD,False
454.69,597.00,Tokyo,Rio de Janeiro,Refund,INR,False
692.93,746.00,Rome,Amsterdam,Transfer,RUB,False
184.21,452.00,New York,Rome,Invoice,AUD,False
84.17,120.00,Mexico City,London,Deposit,CAD,False
813.59,807.00,Tokyo,Stockholm,Purchase,JPY,True
138.54,389.00,Helsinki,Mexico City,Invoice,NZD,False
63.89,985.00,Paris,Berlin,Invoice,RUB,False
892.27,954.00,Paris,Amsterdam,Payment,USD,False
60.38,607.00,Paris,Dubai,Debit,ZAR,False
1695.91,335.00,Mexico City,Helsinki,Refund,EUR,True
220.89,389.00,Toronto,Sydney,Purchase,MXN,False
197.10,968.00,Paris,Moscow,Loan,USD,True
336.75,714.00,Sydney,Amsterdam,Reimbursement,NZD,False
130.64,588.00,Mumbai,Stockholm,Withdrawal,USD,False
281.09,425.00,Tokyo,Rome,Deposit,USD,False
5.65,337.00,Sydney,Amsterdam,Invoice,AUD,False
270.95,335.00,Cape Town,Rio de Janeiro,Payment,AUD,True
5.08,403.00,Mexico City,New York,Invoice,RUB,False
463.96,942.00,Berlin,Sydney,Reimbursement,INR,False
16.22,176.00,Stockholm,Seoul,Credit,MXN,False
508.93,390.00,Sydney,Stockholm,Exchange,TRY,False
416.63,770.00,Rome,New York,Deposit,INR,False
352.15,747.00,Athens,Athens,Withdrawal,SEK,False
838.56,833.00,Paris,Toronto,Payment,HKD,False
42.93,509.00,Rio de Janeiro,Cape Town,Purchase,JPY,False
600.29,493.00,Berlin,Mexico City,Refund,CNY,True
2487.01,425.00,Helsinki,Seoul,Subscription,EUR,True
6079.03,901.00,Mexico City,Rio de Janeiro,Donation,MXN,True
82.26,781.00,Dublin,Helsinki,Invoice,JPY,False
829.34,868.00,Dublin,Toronto,Subscription,RUB,False
127.80,636.00,Helsinki,Mumbai,Credit,NOK,True
196.37,196.00,Sydney,Dubai,Loan,BRL,True
153.01,465.00,Cape Town,Rio de Janeiro,Invoice,SGD,False
818.40,818.00,Sydney,Sydney,Payment,SGD,False
98.67,151.00,Helsinki,Mumbai,Deposit,CNY,True
217.76,429.00,London,Amsterdam,Refund,EUR,False
155.62,142.00,London,London,Fee,BRL,False
411.17,437.00,New York,Stockholm,Transfer,CAD,False
273.13,255.00,Seoul,Mumbai,Withdrawal,JPY,True
631.64,648.00,Rio de Janeiro,Tokyo,Exchange,USD,False
280.76,836.00,Seoul,Berlin,Purchase,BRL,True
445.18,455.00,Amsterdam,Cape Town,Transfer,ZAR,False
71.33,587.00,Amsterdam,Tokyo,Donation,CHF,False
414.76,308.00,Seoul,Amsterdam,Refund,CNY,False
418.42,827.00,Stockholm,Dublin,Reimbursement,GBP,False
837.77,735.00,Mumbai,Tokyo,Deposit,MXN,True
157.98,197.00,Berlin,Helsinki,Withdrawal,RUB,False
3.73,615.00,Helsinki,Berlin,Refund,TRY,False
352.97,528.00,Athens,Stockholm,Invoice,JPY,False
260.85,501.00,Seoul,Cape Town,Transfer,TRY,False
626.67,974.00,Dubai,Sydney,Credit,USD,False
5635.07,922.00,Rome,Cape Town,Deposit,EUR,True
468.51,334.00,Dublin,Tokyo,Invoice,KRW,True
187.57,228.00,Mexico City,Dublin,Transfer,HKD,False
3783.43,998.00,Toronto,Sydney,Credit,JPY,True
609.11,584.00,Athens,Rio de Janeiro,Reimbursement,GBP,False
3662.21,940.00,Amsterdam,Amsterdam,Purchase,KRW,False
257.17,658.00,Helsinki,Dublin,Debit,RUB,False
469.38,368.00,Stockholm,Tokyo,Exchange,ZAR,False
285.75,299.00,Tokyo,New York,Refund,ZAR,False
438.44,333.00,London,Tokyo,Debit,NZD,False
79.21,190.00,Berlin,Seoul,Refund,EUR,False
83.14,661.00,Sydney,Mumbai,Subscription,SGD,False
256.04,478.00,Moscow,New York,Refund,SGD,False
402.09,283.00,Berlin,Stockholm,Payment,CHF,False
15.68,137.00,Amsterdam,Athens,Debit,SEK,False
293.19,101.00,Tokyo,Dubai,Reimbursement,SGD,False
225.64,402.00,Stockholm,Rio de Janeiro,Withdrawal,AUD,False
362.36,270.00,Mumbai,Athens,Withdrawal,EUR,False
958.94,931.00,Helsinki,Stockholm,Deposit,ZAR,False
519.75,622.00,Helsinki,Toronto,Debit,NZD,False
207.54,239.00,Dubai,London,Exchange,RUB,False
621.66,577.00,Tokyo,Cape Town,Purchase,EUR,False
156.77,140.00,Helsinki,Dublin,Donation,TRY,False
243.49,200.00,Rio de Janeiro,Sydney,Transfer,RUB,False
264.57,212.00,Helsinki,Rome,Invoice,NOK,False
77.48,246.00,Stockholm,Mumbai,Subscription,JPY,False
694.11,969.00,Athens,Seoul,Fee,AUD,False
14.73,132.00,Dubai,London,Donation,KRW,False
806.89,561.00,New York,Amsterdam,Subscription,AUD,False
332.40,793.00,Dubai,Dublin,Subscription,BRL,False
358.42,325.00,Dublin,Rio de Janeiro,Reimbursement,USD,False
162.49,213.00,Moscow,Stockholm,Payment,AUD,False
400.49,316.00,Paris,Seoul,Purchase,EUR,False
1352.97,995.00,Paris,Dublin,Loan,INR,False
691.79,520.00,Toronto,Rome,Donation,RUB,False
187.91,352.00,London,Dublin,Subscription,SEK,False
179.71,229.00,Athens,Sydney,Loan,ZAR,True
702.97,535.00,Tokyo,New York,Exchange,NZD,False
30.67,141.00,Helsinki,Amsterdam,Subscription,NOK,False
1128.31,884.00,London,Stockholm,Debit,USD,False
180.29,946.00,New York,Rio de Janeiro,Exchange,KRW,False
348.72,947.00,Amsterdam,Tokyo,Deposit,SGD,False
9.67,433.00,Tokyo,Amsterdam,Donation,EUR,False
1284.57,958.00,Amsterdam,Seoul,Credit,KRW,False
603.86,455.00,Mumbai,Helsinki,Payment,JPY,False
620.33,857.00,Paris,New York,Transfer,INR,False
48.87,474.00,Dubai,Mexico City,Debit,JPY,True
186.24,514.00,Dubai,Mexico City,Deposit,EUR,False
772.50,521.00,Berlin,Rio de Janeiro,Loan,JPY,False
388.22,271.00,Mumbai,Rome,Reimbursement,NZD,False
292.84,219.00,Rome,Sydney,Purchase,CAD,True
104.37,957.00,Helsinki,Amsterdam,Purchase,MXN,True
396.21,618.00,Sydney,New York,Fee,ZAR,False
450.95,595.00,Seoul,Toronto,Fee,USD,False
269.91,312.00,Dubai,Helsinki,Transfer,TRY,False
874.09,910.00,Paris,New York,Payment,AUD,False
1172.09,976.00,Dublin,Dubai,Payment,INR,False
225.28,189.00,New York,Toronto,Deposit,NZD,False
292.00,231.00,New York,Toronto,Credit,KRW,False
164.78,157.00,Dublin,London,Exchange,CNY,False
53.01,189.00,Paris,Helsinki,Subscription,EUR,False
564.88,451.00,London,Helsinki,Loan,CAD,False
453.89,365.00,Mumbai,Toronto,Purchase,CHF,False
307.05,441.00,Dubai,Mumbai,Withdrawal,RUB,False
487.78,339.00,Amsterdam,Stockholm,Debit,CHF,False
123.53,360.00,Cape Town,Dublin,Debit,SEK,False
118.70,293.00,Stockholm,Dubai,Credit,MXN,False
988.95,734.00,Rome,Amsterdam,Subscription,NZD,False
467.49,606.00,Stockholm,Mumbai,Deposit,AUD,False
164.40,178.00,Cape Town,Athens,Purchase,TRY,True
2613.72,350.00,Mexico City,New York,Payment,NOK,True
98.48,168.00,Mumbai,Berlin,Withdrawal,AUD,False
300.41,286.00,Helsinki,Mexico City,Deposit,TRY,False
35.44,773.00,Rio de Janeiro,Rome,Debit,MXN,False
106.35,449.00,Dublin,Seoul,Fee,MXN,False
498.90,391.00,Toronto,Moscow,Credit,JPY,False
72.59,114.00,Athens,Rio de Janeiro,Loan,BRL,True
70.11,185.00,Athens,Mexico City,Deposit,AUD,False
703.95,501.00,Cape Town,Rome,Deposit,SEK,False
132.79,101.00,London,London,Refund,AUD,False
494.26,694.00,Mumbai,Amsterdam,Loan,MXN,False
426.11,468.00,New York,Dublin,Loan,BRL,False
659.82,982.00,Dubai,Paris,Loan,EUR,False
51.29,276.00,Moscow,Mexico City,Payment,CNY,False
163.10,155.00,Amsterdam,Mexico City,Credit,RUB,False
87.77,470.00,Rome,Helsinki,Credit,GBP,False
290.64,800.00,Helsinki,Toronto,Reimbursement,KRW,False
298.34,282.00,Mexico City,Rio de Janeiro,Subscription,NOK,False
704.86,754.00,Mexico City,Mumbai,Debit,HKD,False
73.89,335.00,Paris,Dubai,Exchange,TRY,False
287.15,333.00,Seoul,Dubai,Debit,INR,True
119.69,528.00,Rio de Janeiro,Amsterdam,Purchase,CHF,False
23.47,101.00,Dubai,Mumbai,Invoice,RUB,False
443.91,443.00,New York,Dubai,Debit,MXN,False
84.66,605.00,London,Paris,Exchange,AUD,False
82.45,497.00,Tokyo,Stockholm,Transfer,MXN,False
935.95,798.00,Seoul,Seoul,Exchange,GBP,False
804.24,732.00,Rio de Janeiro,Berlin,Invoice,KRW,False
237.13,868.00,London,Mumbai,Loan,HKD,False
94.11,163.00,New York,New York,Donation,USD,False
1134.99,971.00,Athens,New York,Reimbursement,CAD,False
879.46,827.00,Amsterdam,Dublin,Fee,GBP,False
236.01,265.00,Cape Town,Cape Town,Reimbursement,CHF,False
718.66,715.00,Helsinki,Rome,Exchange,INR,False
553.36,379.00,Cape Town,Amsterdam,Transfer,GBP,False
208.92,157.00,Rome,Dubai,Reimbursement,CNY,False
760.55,823.00,Dublin,Stockholm,Reimbursement,SEK,False
156.44,976.00,Mexico City,Berlin,Purchase,USD,False
908.88,979.00,Seoul,Cape Town,Fee,JPY,False
1072.67,738.00,Stockholm,Mumbai,Purchase,NZD,False
675.57,602.00,Stockholm,Paris,Subscription,TRY,False
672.81,483.00,Amsterdam,Seoul,Debit,NZD,False
172.81,470.00,Sydney,Moscow,Deposit,KRW,False
141.55,136.00,Stockholm,Paris,Subscription,NZD,False
787.49,652.00,Moscow,Paris,Refund,RUB,True
836.53,598.00,Tokyo,Berlin,Payment,USD,False
268.70,985.00,Amsterdam,Mumbai,Donation,MXN,False
13.47,113.00,Tokyo,Dublin,Donation,CAD,False
565.57,483.00,Berlin,Cape Town,Credit,HKD,False
194.17,683.00,Stockholm,Rio de Janeiro,Transfer,CAD,False
570.07,593.00,Berlin,Paris,Subscription,SGD,False
353.60,929.00,Tokyo,Moscow,Credit,USD,False
3723.63,514.00,London,Mumbai,Debit,CHF,True
419.09,286.00,Athens,Paris,Donation,AUD,False
737.21,953.00,Helsinki,London,Invoice,MXN,False
92.16,212.00,Amsterdam,Amsterdam,Deposit,HKD,False
453.89,501.00,Mumbai,Berlin,Donation,CHF,False
395.35,313.00,Berlin,Mexico City,Credit,CNY,False
181.47,657.00,Seoul,London,Purchase,AUD,True
7.05,266.00,Paris,Berlin,Refund,KRW,False
748.22,727.00,Tokyo,Mexico City,Invoice,CAD,False
310.16,962.00,Seoul,Moscow,Invoice,GBP,False
255.08,663.00,Rome,Sydney,Subscription,EUR,False
806.28,650.00,Amsterdam,Berlin,Deposit,CNY,False
380.07,764.00,Berlin,Mexico City,Debit,NZD,False
785.43,771.00,Dublin,Sydney,Donation,RUB,False
1011.17,939.00,London,Mexico City,Reimbursement,ZAR,False
6152.76,858.00,Athens,Paris,Payment,BRL,True
105.49,129.00,Paris,Tokyo,Reimbursement,BRL,False
158.38,389.00,Rio de Janeiro,Sydney,Fee,ZAR,False
863.61,265.00,Rio de Janeiro,Toronto,Subscription,TRY,True
198.83,308.00,Dublin,New York,Withdrawal,HKD,False
158.86,248.00,Cape Town,Paris,Donation,SGD,False
304.23,422.00,Mumbai,Moscow,Purchase,EUR,True
264.63,485.00,Toronto,Cape Town,Credit,NZD,False
95.14,157.00,Toronto,Mexico City,Withdrawal,JPY,False
110.44,503.00,Amsterdam,Berlin,Transfer,CNY,False
420.60,406.00,Stockholm,London,Transfer,SEK,False
75.32,438.00,Stockholm,Rio de Janeiro,Withdrawal,AUD,False
620.92,464.00,Rio de Janeiro,Stockholm,Withdrawal,ZAR,False
523.46,569.00,Seoul,Mexico City,Credit,NZD,False
744.28,632.00,Moscow,Dubai,Subscription,AUD,False
733.01,604.00,Dublin,Mexico City,Deposit,HKD,False
604.13,628.00,New York,Mexico City,Reimbursement,CHF,False
65.92,671.00,Dublin,Cape Town,Subscription,USD,False
92.42,935.00,Paris,Rio de Janeiro,Invoice,ZAR,False
254.04,202.00,Moscow,Mumbai,Invoice,JPY,True
568.10,397.00,London,Athens,Fee,NZD,False
486.69,935.00,Cape Town,Moscow,Refund,JPY,False
838.46,939.00,Moscow,Mexico City,Refund,BRL,True
48.75,129.00,Stockholm,Dublin,Withdrawal,RUB,False
975.00,810.00,Athens,Mexico City,Fee,SGD,False
295.86,586.00,Amsterdam,Stockholm,Donation,RUB,False
90.31,153.00,Amsterdam,Sydney,Payment,MXN,False
800.66,618.00,Amsterdam,Athens,Subscription,GBP,False
585.20,740.00,Stockholm,Rio de Janeiro,Purchase,TRY,False
488.31,480.00,Amsterdam,Amsterdam,Debit,NZD,False
1.38,805.00,New York,Rome,Fee,CNY,False
277.75,963.00,Dubai,London,Reimbursement,ZAR,False
147.98,221.00,Stockholm,Mexico City,Invoice,TRY,False
312.42,219.00,Athens,Berlin,Loan,HKD,False
317.64,308.00,Toronto,Sydney,Invoice,SGD,False
72.11,188.00,New York,Mexico City,Subscription,JPY,False
244.65,191.00,Seoul,Seoul,Withdrawal,USD,False
636.73,544.00,Paris,Dublin,Payment,NOK,True
1008.84,801.00,Helsinki,Seoul,Payment,HKD,False
331.62,556.00,Dublin,Rome,Loan,SEK,False
1104.87,297.00,Athens,Cape Town,Refund,CHF,True
262.21,191.00,Athens,Toronto,Credit,NOK,False
342.28,788.00,Mexico City,Dubai,Subscription,KRW,False
372.08,426.00,Paris,Seoul,Subscription,EUR,False
1231.40,864.00,Helsinki,Paris,Reimbursement,AUD,False
777.10,874.00,Sydney,Toronto,Fee,RUB,False
225.39,897.00,Moscow,Dublin,Withdrawal,USD,False
938.62,658.00,Sydney,Helsinki,Withdrawal,SGD,False
315.20,429.00,Paris,Stockholm,Invoice,ZAR,False
544.46,979.00,London,Toronto,Deposit,NZD,False
2429.35,629.00,New York,Sydney,Credit,ZAR,True
676.37,741.00,Sydney,Sydney,Transfer,NZD,False
1136.25,997.00,Stockholm,Mumbai,Purchase,SEK,True
68.08,182.00,Helsinki,Stockholm,Reimbursement,NZD,False
713.50,559.00,Dublin,Mexico City,Donation,SEK,False
125.64,227.00,Moscow,Stockholm,Transfer,NOK,False
515.49,415.00,Tokyo,Amsterdam,Exchange,NZD,False
456.47,382.00,Mexico City,Moscow,Withdrawal,NOK,True
1793.79,574.00,Amsterdam,London,Exchange,CAD,True
