TransactionAmount,AverageTransactionAmount,CustomerLocation,RecipientLocation,TransactionType,CurrencyType,Timestamp,RiskLabel
1000.00,900.00,New York,Sydney,Wire Transfer,USD,2025-07-30 14:20:00,1
50.00,45.00,Sydney,Singapore,POS Purchase,AUD,2025-08-05 09:50:00,0
1400.00,1200.00,Berlin,Paris,Online Transfer,EUR,2025-08-22 16:30:00,1
300.00,250.00,London,London,Deposit,GBP,2025-09-09 11:10:00,0
12000.00,10000.00,New York,Dubai,International Transfer,USD,2025-09-28 18:15:00,1
70.00,60.00,Tokyo,Tokyo,POS Purchase,JPY,2025-10-05 12:05:00,0
2100.00,1800.00,Paris,Berlin,Card Payment,EUR,2025-10-21 14:45:00,1
500.00,400.00,Sydney,Singapore,Internal Transfer,AUD,2025-11-08 10:35:00,0
800.00,700.00,London,London,ATM Withdrawal,GBP,2025-11-24 16:00:00,0
15000.00,13000.00,New York,Dubai,International Transfer,USD,2025-12-12 18:20:00,1
55.00,45.00,Tokyo,Osaka,POS Purchase,JPY,2025-12-28 13:10:00,0
2700.00,2300.00,Berlin,Paris,Online Transfer,EUR,2025-01-15 09:20:00,1
650.00,550.00,Sydney,New York,Wire Transfer,AUD,2025-01-30 14:45:00,0
100.00,80.00,London,London,Card Payment,GBP,2025-02-10 11:30:00,0
2000.00,1700.00,Paris,Berlin,Online Transfer,EUR,2025-02-25 16:10:00,1
400.00,350.00,Tokyo,Tokyo,ATM Withdrawal,JPY,2025-03-12 10:05:00,0
950.00,850.00,New York,Sydney,Wire Transfer,USD,2025-03-28 15:20:00,1
65.00,55.00,Sydney,Singapore,POS Purchase,AUD,2025-04-14 12:30:00,0
1300.00,1200.00,Berlin,Paris,Online Transfer,EUR,2025-04-30 14:50:00,1
280.00,230.00,London,London,Deposit,GBP,2025-05-16 09:40:00,0
11000.00,9500.00,New York,Dubai,International Transfer,USD,2025-06-01 17:15:00,1
75.00,65.00,Tokyo,Tokyo,POS Purchase,JPY,2025-06-18 12:00:00,0
2200.00,1900.00,Paris,Berlin,Card Payment,EUR,2025-07-04 14:45:00,1
450.00,400.00,Sydney,Singapore,Internal Transfer,AUD,2025-07-20 10:25:00,0
750.00,650.00,London,London,ATM Withdrawal,GBP,2025-08-06 16:15:00,0
17000.00,15000.00,New York,Dubai,International Transfer,USD,2025-08-22 18:35:00,1
60.00,50.00,Tokyo,Osaka,POS Purchase,JPY,2025-09-08 12:20:00,0
2500.00,2200.00,Berlin,Paris,Online Transfer,EUR,2025-09-24 15:40:00,1
700.00,600.00,Sydney,New York,Wire Transfer,AUD,2025-10-10 09:55:00,0
95.00,85.00,London,London,Card Payment,GBP,2025-10-26 13:30:00,0
1900.00,1600.00,Paris,Berlin,Online Transfer,EUR,2025-11-11 16:05:00,1
430.00,360.00,Tokyo,Tokyo,ATM Withdrawal,JPY,2025-11-27 10:50:00,0
1050.00,950.00,New York,Sydney,Wire Transfer,USD,2025-12-13 14:15:00,1
55.00,45.00,Sydney,Singapore,POS Purchase,AUD,2025-12-29 11:25:00,0
95.00,80.00,Los Angeles,Chicago,Card Payment,USD,2025-02-14 13:20:00,0
5200.00,3000.00,San Francisco,Tokyo,Wire Transfer,USD,2025-03-03 10:10:00,1
40.00,35.00,Mexico City,Mexico City,POS Purchase,MXN,2025-01-20 15:45:00,0
780.00,600.00,Toronto,Vancouver,Online Transfer,CAD,2025-04-11 11:30:00,0
15000.00,9000.00,Dubai,Mumbai,International Transfer,AED,2025-05-01 22:10:00,1
68.00,60.00,Amsterdam,Brussels,Card Payment,EUR,2025-06-18 09:25:00,0
2100.00,1500.00,Singapore,Hong Kong,Wire Transfer,SGD,2025-07-02 14:05:00,1
25.00,20.00,Bangkok,Bangkok,POS Purchase,THB,2025-08-09 12:10:00,0
890.00,700.00,Chicago,New York,Online Transfer,USD,2025-09-12 10:50:00,0
13400.00,10000.00,Los Angeles,Dubai,International Transfer,USD,2025-10-03 18:30:00,1
72.00,65.00,Rome,Milan,Card Payment,EUR,2025-11-07 13:40:00,0
3100.00,2500.00,Frankfurt,Zurich,Wire Transfer,EUR,2025-12-01 09:55:00,1
55.00,45.00,Seoul,Seoul,POS Purchase,KRW,2025-01-28 11:15:00,0
980.00,850.00,Houston,Atlanta,Online Transfer,USD,2025-02-16 15:35:00,0
17500.00,14000.00,New York,Singapore,International Transfer,USD,2025-03-22 21:45:00,1
60.00,50.00,Istanbul,Istanbul,POS Purchase,TRY,2025-04-30 14:10:00,0
2400.00,2000.00,Madrid,Lisbon,Online Transfer,EUR,2025-05-19 10:20:00,1
85.00,70.00,Berlin,Vienna,Card Payment,EUR,2025-06-07 12:30:00,0
670.00,550.00,Melbourne,Sydney,Internal Transfer,AUD,2025-07-25 09:40:00,0
9200.00,8000.00,Toronto,London,Wire Transfer,CAD,2025-08-14 16:55:00,1
48.00,40.00,Jakarta,Jakarta,POS Purchase,IDR,2025-09-05 11:05:00,0
1250.00,1000.00,San Diego,Seattle,Online Transfer,USD,2025-10-18 13:15:00,0
16000.00,13000.00,Paris,Dubai,International Transfer,EUR,2025-11-22 19:25:00,1
90.00,75.00,Brussels,Amsterdam,Card Payment,EUR,2025-12-10 10:45:00,0
110.00,90.00,Denver,Phoenix,Card Payment,USD,2025-01-12 12:10:00,0
4800.00,2500.00,Chicago,London,Wire Transfer,USD,2025-02-05 09:40:00,1
35.00,30.00,Lima,Lima,POS Purchase,PEN,2025-03-14 13:25:00,0
920.00,700.00,Vancouver,Calgary,Online Transfer,CAD,2025-04-08 11:15:00,0
14200.00,10000.00,Riyadh,Dubai,International Transfer,SAR,2025-05-27 20:30:00,1
75.00,65.00,Barcelona,Valencia,Card Payment,EUR,2025-06-19 10:05:00,0
2600.00,1800.00,Hong Kong,Singapore,Wire Transfer,HKD,2025-07-11 14:50:00,1
28.00,25.00,Manila,Manila,POS Purchase,PHP,2025-08-03 12:00:00,0
870.00,750.00,Boston,New York,Online Transfer,USD,2025-09-09 09:45:00,0
15800.00,12000.00,San Francisco,Dubai,International Transfer,USD,2025-10-14 18:20:00,1
95.00,80.00,Munich,Hamburg,Card Payment,EUR,2025-11-02 13:35:00,0
3400.00,2600.00,Zurich,Vienna,Wire Transfer,CHF,2025-12-06 10:25:00,1
50.00,45.00,Kuala Lumpur,Kuala Lumpur,POS Purchase,MYR,2025-01-29 11:40:00,0
1020.00,900.00,Miami,Orlando,Online Transfer,USD,2025-02-18 15:55:00,0
16800.00,14000.00,London,Singapore,International Transfer,GBP,2025-03-26 21:10:00,1
62.00,55.00,Cairo,Cairo,POS Purchase,EGP,2025-04-17 14:05:00,0
2300.00,1900.00,Rome,Athens,Online Transfer,EUR,2025-05-08 10:30:00,1
88.00,70.00,Oslo,Stockholm,Card Payment,NOK,2025-06-21 12:20:00,0
710.00,600.00,Perth,Melbourne,Internal Transfer,AUD,2025-07-30 09:10:00,0
9800.00,8500.00,Montreal,Paris,Wire Transfer,CAD,2025-08-25 16:40:00,1
42.00,35.00,Nairobi,Nairobi,POS Purchase,KES,2025-09-13 11:25:00,0
1350.00,1100.00,Portland,San Jose,Online Transfer,USD,2025-10-05 13:05:00,0
17200.00,15000.00,Berlin,Dubai,International Transfer,EUR,2025-11-19 19:15:00,1
78.00,65.00,Prague,Budapest,Card Payment,CZK,2025-12-11 10:55:00,0
110.00,95.00,San Jose,Los Angeles,Card Payment,USD,2025-02-05 12:10:00,0
4800.00,3500.00,Chicago,Mexico City,Wire Transfer,USD,2025-03-14 09:25:00,1
35.00,30.00,Lima,Lima,POS Purchase,PEN,2025-01-18 14:50:00,0
920.00,800.00,Vancouver,Calgary,Online Transfer,CAD,2025-04-08 11:05:00,0
14000.00,11000.00,Riyadh,Dubai,International Transfer,SAR,2025-05-12 20:40:00,1
75.00,65.00,Copenhagen,Stockholm,Card Payment,DKK,2025-06-21 10:15:00,0
2600.00,2100.00,Hong Kong,Taipei,Wire Transfer,HKD,2025-07-03 13:55:00,1
28.00,25.00,Manila,Manila,POS Purchase,PHP,2025-08-16 15:20:00,0
870.00,750.00,Denver,Phoenix,Online Transfer,USD,2025-09-11 10:30:00,0
12500.00,10000.00,Seattle,Tokyo,International Transfer,USD,2025-10-07 17:45:00,1
68.00,60.00,Oslo,Helsinki,Card Payment,NOK,2025-11-09 12:25:00,0
3300.00,2700.00,Zurich,Munich,Wire Transfer,CHF,2025-12-03 09:10:00,1
52.00,45.00,Kuala Lumpur,Kuala Lumpur,POS Purchase,MYR,2025-01-29 11:40:00,0
1020.00,900.00,Dallas,Miami,Online Transfer,USD,2025-02-17 14:55:00,0
16500.00,14000.00,London,Singapore,International Transfer,GBP,2025-03-25 21:15:00,1
58.00,50.00,Cairo,Cairo,POS Purchase,EGP,2025-04-19 13:05:00,0
2100.00,1800.00,Barcelona,Rome,Online Transfer,EUR,2025-05-27 10:35:00,1
92.00,80.00,Vienna,Prague,Card Payment,EUR,2025-06-06 11:50:00,0
710.00,600.00,Brisbane,Perth,Internal Transfer,AUD,2025-07-18 09:20:00,0
9800.00,8200.00,Montreal,New York,Wire Transfer,CAD,2025-08-23 16:10:00,1
42.00,35.00,Hanoi,Hanoi,POS Purchase,VND,2025-09-04 12:45:00,0
1350.00,1100.00,San Antonio,Austin,Online Transfer,USD,2025-10-15 13:25:00,0
15500.00,13000.00,Berlin,Dubai,International Transfer,EUR,2025-11-20 18:50:00,1
88.00,75.00,Budapest,Warsaw,Card Payment,HUF,2025-12-08 10:05:00,0
130.00,110.00,San Jose,San Diego,Card Payment,USD,2025-01-08 12:25:00,0
4100.00,2200.00,Atlanta,Toronto,Wire Transfer,USD,2025-02-12 10:35:00,1
22.00,20.00,Bogota,Bogota,POS Purchase,COP,2025-03-03 14:10:00,0
980.00,850.00,Edmonton,Ottawa,Online Transfer,CAD,2025-04-22 11:45:00,0
12500.00,9500.00,Abu Dhabi,Mumbai,International Transfer,AED,2025-05-18 21:20:00,1
82.00,70.00,Lisbon,Porto,Card Payment,EUR,2025-06-02 09:55:00,0
2750.00,2000.00,Shanghai,Singapore,Wire Transfer,CNY,2025-07-14 15:05:00,1
18.00,15.00,Hanoi,Hanoi,POS Purchase,VND,2025-08-07 12:40:00,0
910.00,780.00,Philadelphia,Boston,Online Transfer,USD,2025-09-01 10:10:00,0
14900.00,12000.00,Seattle,Dubai,International Transfer,USD,2025-10-09 18:50:00,1
88.00,75.00,Cologne,Dusseldorf,Card Payment,EUR,2025-11-06 13:15:00,0
3600.00,2800.00,Geneva,Milan,Wire Transfer,CHF,2025-12-02 10:05:00,1
47.00,40.00,Taipei,Taipei,POS Purchase,TWD,2025-01-26 11:30:00,0
1120.00,950.00,Dallas,Austin,Online Transfer,USD,2025-02-20 16:00:00,0
16200.00,13500.00,Chicago,Singapore,International Transfer,USD,2025-03-29 22:15:00,1
58.00,50.00,Karachi,Karachi,POS Purchase,PKR,2025-04-25 13:50:00,0
2450.00,2100.00,Barcelona,Zurich,Online Transfer,EUR,2025-05-30 10:15:00,1
92.00,80.00,Helsinki,Stockholm,Card Payment,EUR,2025-06-18 12:05:00,0
740.00,650.00,Brisbane,Adelaide,Internal Transfer,AUD,2025-07-27 09:35:00,0
10100.00,8800.00,Ottawa,Paris,Wire Transfer,CAD,2025-08-19 17:00:00,1
33.00,28.00,Addis Ababa,Addis Ababa,POS Purchase,ETB,2025-09-11 11:55:00,0
1420.00,1200.00,Las Vegas,San Francisco,Online Transfer,USD,2025-10-02 13:25:00,0
18500.00,16000.00,Madrid,Dubai,International Transfer,EUR,2025-11-15 19:40:00,1
84.00,70.00,Bucharest,Sofia,Card Payment,RON,2025-12-08 10:20:00,0
6914.8,6204.76,Cambodia,Paraguay,Online Transfer,MXN,2025-01-01 00:00:00,1

12837.3,7671.81,Turkmenistan,Saint Kitts and Nevis,Debit Card Payment,USD,2025-01-01 00:00:00,1

10994.46,6657.19,Swaziland,Kosovo,Mortgage Payment,THB,2025-01-01 00:00:00,1

2541.66,2242.2,Korea, South,Somalia,P2P Transfer,CNY,2025-01-01 00:00:00,1

3871.94,3107.76,Liberia,Croatia,Salary Payment,INR,2025-01-01 00:00:00,1

15769.37,7640.97,Tunisia,Norway,Prepaid Card Load,INR,2025-01-01 00:00:00,1

4505.47,3042.3,Philippines,Georgia,Wire Transfer,CAD,2025-01-01 00:00:00,1

6106.83,3808.72,Cameroon,Kenya,Online Transfer,TWD,2025-01-01 00:00:00,1

19836.71,8648.19,Bosnia and Herzegovina,Slovenia,Loan Payment,SGD,2025-01-01 00:00:00,1

893.63,533.68,Italy,Brazil,Batch Payment,RUB,2025-01-01 00:00:00,0

11588.1,9487.35,Croatia,Pakistan,Standing Order,ILS,2025-01-01 00:00:00,1

1751.23,1477.57,China,Liberia,Foreign Remittance,MXN,2025-01-01 00:00:00,0

10492.73,8556.59,Cameroon,Cyprus,Subscription Payment,DKK,2025-01-01 00:00:00,1

17151.22,14076.33,Romania,United Arab Emirates,Interest Credit,INR,2025-01-01 00:00:00,1

19843.58,16946.47,Kosovo,Nigeria,P2P Transfer,BRL,2025-01-01 00:00:00,1

11797.03,5193.03,Canada,Barbados,Withdrawal,SEK,2025-01-01 00:00:00,1

18421.51,7949.76,Tunisia,Australia,Bill Payment,AED,2025-01-01 00:00:00,1

6261.07,2701.09,Belarus,Swaziland,Top-up,NZD,2025-01-01 00:00:00,1

8677.17,6763.05,Cyprus,Montenegro,Batch Payment,GBP,2025-01-01 00:00:00,1

4672.81,2428.1,Malta,Albania,Merchant Settlement,PHP,2025-01-01 00:00:00,1

13201.09,6062.14,Mozambique,Uruguay,Credit Card Payment,HUF,2025-01-01 00:00:00,1

6482.37,5592.44,Barbados,Bhutan,ATM Withdrawal,RUB,2025-01-01 00:00:00,1

9229.52,6083.21,Belgium,Taiwan,Salary Payment,SGD,2025-01-01 00:00:00,1

6809.32,3599.67,Saudi Arabia,Ghana,Debit Card Payment,RON,2025-01-01 00:00:00,1

19046.89,10827.85,San Marino,Nicaragua,Mortgage Payment,KRW,2025-01-01 00:00:00,1

19637.56,13190.17,Guyana,Jordan,Gift Card Purchase,USD,2025-01-01 00:00:00,1

14387.33,11461.88,Thailand,Burundi,Fee Charge,MYR,2025-01-01 00:00:00,1

15454.98,12285.91,Sudan,Angola,Refund,SGD,2025-01-01 00:00:00,1

3782.41,2221.11,Solomon Islands,Slovenia,Point of Sale (POS) Purchase,MYR,2025-01-01 00:00:00,1

17913.75,11808.55,Bulgaria,Saint Kitts and Nevis,Credit Card Payment,INR,2025-01-01 00:00:00,1

3621.73,3092.34,Saudi Arabia,Azerbaijan,Cash Advance,AED,2025-01-01 00:00:00,1

12362.25,6881.35,United Kingdom,Tonga,Online Transfer,KRW,2025-01-01 00:00:00,1

12565.56,7312.71,Bolivia,Canada,Standing Order,THB,2025-01-01 00:00:00,1

12311.77,6875.08,Madagascar,Albania,Gift Card Purchase,IDR,2025-01-01 00:00:00,1

15981.23,10050.96,Marshall Islands,Swaziland,Credit Card Payment,KRW,2025-01-01 00:00:00,1

16325.93,9670.96,Saint Lucia,Spain,Direct Debit,AED,2025-01-01 00:00:00,1

11634.28,5825.11,Yemen,Czech Republic,Top-up,MYR,2025-01-01 00:00:00,1

702.05,541.47,Burundi,Sao Tome and Principe,Point of Sale (POS) Purchase,SGD,2025-01-01 00:00:00,0

1834.41,970.46,Yemen,Sri Lanka,ATM Withdrawal,RON,2025-01-01 00:00:00,0

423.85,172.97,Namibia,Nicaragua,Loan Payment,CAD,2025-01-01 00:00:00,0

16467.33,7949.51,Belize,Saint Kitts and Nevis,Foreign Remittance,DKK,2025-01-01 00:00:00,1

2109.54,993.95,Benin,Argentina,Deposit,KRW,2025-01-01 00:00:00,1

17601.74,13310.06,China,Seychelles,Check Withdrawal,SGD,2025-01-01 00:00:00,1

16820.76,7746.42,Paraguay,Congo, Democratic Republic of the,ATM Deposit,THB,2025-01-01 00:00:00,1

17166.36,7970.42,United States of America,Brazil,Insurance Payment,RUB,2025-01-01 00:00:00,1

7865.97,3662.85,Palau,Ukraine,Salary Payment,CNY,2025-01-01 00:00:00,1

2511.33,1773.18,Uganda,Costa Rica,Mobile Payment,DKK,2025-01-01 00:00:00,1

14004.91,9949.06,Ghana,Papua New Guinea,Reversal,USD,2025-01-01 00:00:00,1

12605.36,7840.79,San Marino,Afghanistan,Insurance Payment,RON,2025-01-01 00:00:00,1

6042.38,5045.65,The Bahamas,Oman,Withdrawal,HKD,2025-01-01 00:00:00,1

5551.11,3929.87,Morocco,Burkina Faso,Bill Payment,JPY,2025-01-01 00:00:00,1

17519.03,13113.97,Paraguay,Mongolia,International Transfer,AED,2025-01-01 00:00:00,1

5758.19,5091.64,Cambodia,Israel,Online Transfer,ILS,2025-01-01 00:00:00,1

9657.01,7521.01,Zimbabwe,Algeria,Insurance Payment,MYR,2025-01-01 00:00:00,1

15392.12,9302.3,Japan,Uruguay,Bill Payment,PHP,2025-01-01 00:00:00,1

4569.0,2834.69,Tonga,France,Foreign Currency Exchange,SGD,2025-01-01 00:00:00,1

10897.82,9150.2,Eritrea,Vietnam,Debit Card Payment,COP,2025-01-01 00:00:00,1

5018.22,2524.6,Kenya,Moldova,P2P Transfer,CHF,2025-01-01 00:00:00,1

18805.14,7947.91,Cameroon,Lithuania,Interest Credit,CNY,2025-01-01 00:00:00,1

700.0,367.62,Jordan,Turkey,Batch Payment,IDR,2025-01-01 00:00:00,0

10746.58,7314.73,Egypt,Vietnam,Withdrawal,SEK,2025-01-01 00:00:00,1

15788.72,9650.22,Sudan,Vatican City (Holy See),ATM Deposit,COP,2025-01-01 00:00:00,1

11939.86,8712.52,United Arab Emirates,Romania,Interest Credit,EUR,2025-01-01 00:00:00,1

17545.35,12370.35,Morocco,Albania,Foreign Remittance,TWD,2025-01-01 00:00:00,1

6129.79,3021.19,United Kingdom,Germany,Mortgage Payment,SAR,2025-01-01 00:00:00,1

8221.21,5504.08,Montenegro,Suriname,Merchant Settlement,GBP,2025-01-01 00:00:00,1

270.28,145.95,Burkina Faso,Tonga,Merchant Settlement,HKD,2025-01-01 00:00:00,0

5598.61,4369.39,Vanuatu,Uzbekistan,Interest Debit,CZK,2025-01-01 00:00:00,1

9163.71,4073.09,Guinea-Bissau,Nicaragua,Standing Order,HKD,2025-01-01 00:00:00,1

11883.79,6947.78,Latvia,Malta,Insurance Payment,PHP,2025-01-01 00:00:00,1

13341.75,6958.9,Canada,Kyrgyzstan,Cash Advance,IDR,2025-01-01 00:00:00,1

17309.21,10707.53,Jordan,Lesotho,Subscription Payment,KRW,2025-01-01 00:00:00,1

8344.76,5664.41,Laos,United States of America,Interest Debit,RON,2025-01-01 00:00:00,1

2111.85,1065.02,Senegal,Sri Lanka,Deposit,JPY,2025-01-01 00:00:00,1

8959.34,5309.35,Iceland,Bosnia and Herzegovina,Cash Advance,PLN,2025-01-01 00:00:00,1

1997.19,1698.79,China,Dominican Republic,Internal Transfer,NOK,2025-01-01 00:00:00,0

3580.1,3153.85,Georgia,Lithuania,International Transfer,CLP,2025-01-01 00:00:00,1

7163.05,6321.96,Cameroon,Kazakhstan,Fee Charge,BRL,2025-01-01 00:00:00,1

3035.77,2679.79,Sierra Leone,Greece,Cash Advance,GBP,2025-01-01 00:00:00,1

16024.29,6898.05,Micronesia, Federated States of,Rwanda,Foreign Remittance,AUD,2025-01-01 00:00:00,1

11002.61,4515.63,Somalia,Kiribati,Subscription Payment,COP,2025-01-01 00:00:00,1

10621.7,9476.7,Slovenia,Kosovo,Check Deposit,SGD,2025-01-01 00:00:00,1

15287.79,10632.12,Grenada,Saint Lucia,Mobile Payment,TWD,2025-01-01 00:00:00,1

420.78,208.1,Trinidad and Tobago,Sudan,ATM Withdrawal,JPY,2025-01-01 00:00:00,0

10037.83,7655.08,Uruguay,Chad,Direct Debit,SAR,2025-01-01 00:00:00,1

11865.85,9800.46,Ireland,Argentina,Prepaid Card Load,PHP,2025-01-01 00:00:00,1

9558.06,4434.94,Cote d'Ivoire,Burkina Faso,Interest Credit,NZD,2025-01-01 00:00:00,1

5176.54,3093.08,Tonga,Sri Lanka,Insurance Payment,EUR,2025-01-01 00:00:00,1

14549.12,7351.38,Saudi Arabia,Norway,Withdrawal,ILS,2025-01-01 00:00:00,1

17823.11,13357.84,Korea, South,Seychelles,Check Withdrawal,ILS,2025-01-01 00:00:00,1

8783.48,5166.76,Costa Rica,Luxembourg,Cash Advance,TWD,2025-01-01 00:00:00,1

4425.36,2272.96,Libya,Cameroon,Gift Card Purchase,COP,2025-01-01 00:00:00,1

8825.01,7465.96,Portugal,Mongolia,Foreign Remittance,MXN,2025-01-01 00:00:00,1

19297.32,14097.19,Montenegro,Equatorial Guinea,Foreign Currency Exchange,RUB,2025-01-01 00:00:00,1

3081.94,2286.56,The Gambia,Belarus,ATM Deposit,PLN,2025-01-01 00:00:00,1

3275.88,2185.33,Hungary,Macedonia,Online Transfer,JPY,2025-01-01 00:00:00,1

17065.75,7220.94,Mauritius,Israel,External Transfer,KRW,2025-01-01 00:00:00,1

6315.35,5462.55,Greece,Canada,ATM Withdrawal,JPY,2025-01-01 00:00:00,1

11384.06,9035.09,New Zealand,Mongolia,Gift Card Purchase,CHF,2025-01-01 00:00:00,1

11829.4,9462.92,Saudi Arabia,Croatia,ATM Deposit,HKD,2025-01-01 00:00:00,1
4996.21,4398.81,Mauritania,Chad,Interest Debit,HUF,2025-01-01 00:00:00,1

13101.2,9666.56,Colombia,Ukraine,Card Payment,COP,2025-01-01 00:00:00,1

18513.75,9115.11,Georgia,Cape Verde,Check Deposit,BRL,2025-01-01 00:00:00,1

9762.61,4216.08,Sierra Leone,Antigua and Barbuda,Refund,CAD,2025-01-01 00:00:00,1

9285.56,4999.45,Botswana,Korea, North,Interest Debit,AED,2025-01-01 00:00:00,1

19602.06,11703.28,Syria,Chile,Direct Debit,AED,2025-01-01 00:00:00,1

1902.18,1370.97,Angola,Qatar,Direct Debit,CNY,2025-01-01 00:00:00,0

16172.6,9125.24,Guinea-Bissau,Barbados,Credit Card Payment,TRY,2025-01-01 00:00:00,1

18153.25,10371.07,Chad,Samoa,ATM Withdrawal,SGD,2025-01-01 00:00:00,1

6131.77,4304.64,Tunisia,Seychelles,Withdrawal,CHF,2025-01-01 00:00:00,1

11318.11,9178.43,Russia,United Arab Emirates,Foreign Currency Exchange,CLP,2025-01-01 00:00:00,1

18864.25,15238.23,Slovenia,Samoa,Top-up,THB,2025-01-01 00:00:00,1

6382.14,4914.11,Cyprus,Kiribati,International Transfer,KRW,2025-01-01 00:00:00,1

2297.31,1474.42,Czech Republic,Sao Tome and Principe,Interest Credit,PHP,2025-01-01 00:00:00,1

19899.1,16411.03,Singapore,Palau,Bill Payment,INR,2025-01-01 00:00:00,1

18838.26,12117.39,Antigua and Barbuda,Mauritania,Loan Payment,CHF,2025-01-01 00:00:00,1

17286.19,12626.49,Vatican City (Holy See),Russia,P2P Transfer,USD,2025-01-01 00:00:00,1

14945.01,8014.58,Tonga,Somalia,Top-up,BRL,2025-01-01 00:00:00,1

1548.9,877.33,Jamaica,Uganda,Mobile Payment,AUD,2025-01-01 00:00:00,0

8455.45,4779.02,Jamaica,United Kingdom,Mobile Payment,SEK,2025-01-01 00:00:00,1

3126.71,2370.77,The Gambia,Cuba,Direct Debit,SGD,2025-01-01 00:00:00,1

15751.01,13891.12,Netherlands,Thailand,External Transfer,GBP,2025-01-01 00:00:00,1

1791.29,1392.57,Venezuela,Liberia,Insurance Payment,DKK,2025-01-01 00:00:00,0

451.72,391.1,Saint Lucia,Dominican Republic,Reversal,CHF,2025-01-01 00:00:00,0

11925.5,5318.25,Albania,Cape Verde,Credit Card Payment,BRL,2025-01-01 00:00:00,1

10449.5,9045.26,Sierra Leone,Nicaragua,Card Payment,CZK,2025-01-01 00:00:00,1

9488.83,5980.55,Oman,Costa Rica,Foreign Currency Exchange,SGD,2025-01-01 00:00:00,1

730.78,657.47,Central African Republic,Kosovo,Mortgage Payment,SGD,2025-01-01 00:00:00,0

13534.03,7312.12,Antigua and Barbuda,Spain,ATM Withdrawal,CLP,2025-01-01 00:00:00,1

